"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838572","PIP Subject0016 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0016_RegNeg_Beta.nii.gz","1932700","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838573","PIP Subject0017 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0017_LookNeg_Beta.nii.gz","2083358","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838574","PIP Subject0017 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0017_LookNeu_Beta.nii.gz","2083091","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838575","PIP Subject0017 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0017_RegNeg_Beta.nii.gz","2083687","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838576","PIP Subject0018 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0018_LookNeg_Beta.nii.gz","1982740","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838577","PIP Subject0018 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0018_LookNeu_Beta.nii.gz","1980110","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838578","PIP Subject0018 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0018_RegNeg_Beta.nii.gz","1982249","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838579","PIP Subject0019 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0019_LookNeg_Beta.nii.gz","2056705","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838580","PIP Subject0019 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0019_LookNeu_Beta.nii.gz","2055615","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838581","PIP Subject0019 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0019_RegNeg_Beta.nii.gz","2056260","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
