dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,28,44.2794520547945,-1,30,16,1,3,3.2,3.38461538461538,1.06666666666667,0.18461538461538,2.31794871794871
AHAB,29,32.627397260274,-1,15,26,1,1,2.33333333333333,3,1,0.66666666666667,2
AHAB,30,49.2438356164384,1,,,1,1,3.35714285714286,4.46666666666667,1.13333333333333,1.10952380952381,3.33333333333334
AHAB,31,40.627397260274,1,23,21,1,3,2.85714285714286,4.78571428571429,1.15384615384615,1.92857142857143,3.63186813186814
AHAB,32,51.0465753424658,1,32,10,1,2,1.6,1.8,1,0.2,0.8
AHAB,33,46.2821917808219,-1,35,10,1,2,1.69230769230769,3.85714285714286,1.53333333333333,2.16483516483517,2.32380952380953
AHAB,34,32.7315068493151,-1,20,9,1,1,3.2,3.5,1,0.3,2.5
AHAB,35,53.8767123287671,-1,31,10,1,1,3,3,1,0,2
AHAB,36,54.5643835616438,1,32,19,1,2,2.46666666666667,3.83333333333333,1,1.36666666666666,2.83333333333333
AHAB,37,40.6301369863014,-1,28,16,1,2,2,2.92307692307692,1,0.92307692307692,1.92307692307692
AHAB,38,33.7643835616438,1,23,13,1,3,2.73333333333333,3.07692307692308,1,0.34358974358975,2.07692307692308
AHAB,39,34.6630136986301,-1,27,22,1,4,2.8,3.28571428571429,1,0.48571428571429,2.28571428571429
AHAB,40,53.3890410958904,-1,18,21,1,2,2.2,4.5,1,2.3,3.5
AHAB,41,44.2821917808219,-1,35,23,1,3,3.06666666666667,3.42857142857143,1.07142857142857,0.36190476190476,2.35714285714286
AHAB,42,53.9698630136986,1,29,14,1,8,3.6,3.64285714285714,1.07142857142857,0.04285714285714,2.57142857142857
AHAB,43,48.8547945205479,-1,36,20,1,1,2.35714285714286,4.07692307692308,1,1.71978021978022,3.07692307692308
AHAB,44,33.0958904109589,1,27,14,1,3,3.14285714285714,3.58333333333333,1.07142857142857,0.44047619047619,2.51190476190476
AHAB,45,36.8794520547945,1,42,21,1,3,2.6,4.53333333333333,1.38461538461538,1.93333333333333,3.14871794871795
AHAB,46,53.8328767123288,-1,32,14,1,3,3.5,3.46666666666667,1,-0.0333333333333301,2.46666666666667
AHAB,47,40.2,-1,27,20,1,1,3,4.07142857142857,1.15384615384615,1.07142857142857,2.91758241758242
AHAB,48,37.7150684931507,1,20,18,1,2,2.46666666666667,3.64285714285714,1.13333333333333,1.17619047619047,2.50952380952381
AHAB,49,45.4630136986301,-1,31,21,1,4,2.73333333333333,4.07692307692308,1.25,1.34358974358975,2.82692307692308
AHAB,50,51.9260273972603,1,30,13,1,3,3.46666666666667,4.28571428571429,1,0.81904761904762,3.28571428571429
AHAB,51,41.9479452054794,-1,26,19,1,1,2.53333333333333,3.26666666666667,1.14285714285714,0.73333333333334,2.12380952380953
AHAB,52,49.9123287671233,-1,25,17,1,1,1.93333333333333,4.42857142857143,1,2.4952380952381,3.42857142857143
AHAB,53,44.7479452054795,1,29,17,1,2,2.33333333333333,4.71428571428571,1.08333333333333,2.38095238095238,3.63095238095238
AHAB,54,38.9123287671233,-1,33,8,1,1,2.86666666666667,3.4,1.2,0.53333333333333,2.2
AHAB,55,42.5315068493151,-1,30,16,1,2,1.73333333333333,2.71428571428571,1.06666666666667,0.98095238095238,1.64761904761904
AHAB,56,32.9287671232877,-1,28,23,1,3,3,3.61538461538462,1,0.61538461538462,2.61538461538462
AHAB,57,45.3671232876712,-1,30,4,1,1,2.26666666666667,2.06666666666667,1,-0.2,1.06666666666667
AHAB,58,31.7835616438356,1,29,10,1,1,2.4,2.46666666666667,1.06666666666667,0.06666666666667,1.4
AHAB,59,33.441095890411,-1,27,12,1,2,2.73333333333333,3,1,0.26666666666667,2
AHAB,60,33.9890410958904,1,39,17,1,3,3.21428571428571,4,1.07142857142857,0.78571428571429,2.92857142857143
AHAB,61,44.0602739726027,-1,28,15,1,3,2,2.73333333333333,1,0.73333333333333,1.73333333333333
AHAB,62,54,1,40,4,1,1,2.46153846153846,4.15384615384615,1,1.69230769230769,3.15384615384615
AHAB,63,52.6246575342466,-1,33,15,1,8,3.8,3.07142857142857,1,-0.72857142857143,2.07142857142857
AHAB,64,37.1479452054795,-1,26,16,1,1,2.4,2.85714285714286,1.15384615384615,0.45714285714286,1.70329670329671
AHAB,65,40.4082191780822,-1,33,18,1,2,2.42857142857143,3.57142857142857,1.07142857142857,1.14285714285714,2.5
AHAB,66,31.2767123287671,1,31,9,1,3,2.8,4.42857142857143,1,1.62857142857143,3.42857142857143
AHAB,67,31.5315068493151,1,41,21,0,9,2.4,3.5,1,1.1,2.5
AHAB,68,44.3095890410959,1,42,11,1,3,1.26666666666667,2.26666666666667,1,1,1.26666666666667
AHAB,69,49.6082191780822,1,41,21,1,8,3.35714285714286,4.07692307692308,2.07142857142857,0.71978021978022,2.00549450549451
AHAB,70,45.9835616438356,-1,,,0,9,4.06666666666667,4,1.21428571428571,-0.06666666666667,2.78571428571429
AHAB,71,43.1890410958904,1,31,9,1,1,2.46666666666667,1.85714285714286,1,-0.60952380952381,0.85714285714286
AHAB,72,43.972602739726,-1,33,16,1,2,2.23076923076923,2.33333333333333,1,0.1025641025641,1.33333333333333
AHAB,73,32.9534246575342,-1,29,15,1,3,3.2,3.14285714285714,1.07142857142857,-0.0571428571428601,2.07142857142857
AHAB,74,43.2821917808219,-1,24,12,1,3,2,3.6,1,1.6,2.6
