SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
44,AHAB,33.0958904109589,1,27,14,1,3,3.14285714285714,3.58333333333333,1.07142857142857
45,AHAB,36.8794520547945,1,42,21,1,3,2.6,4.53333333333333,1.38461538461538
46,AHAB,53.8328767123288,-1,32,14,1,3,3.5,3.46666666666667,1
47,AHAB,40.2,-1,27,20,1,1,3,4.07142857142857,1.15384615384615
48,AHAB,37.7150684931507,1,20,18,1,2,2.46666666666667,3.64285714285714,1.13333333333333
49,AHAB,45.4630136986301,-1,31,21,1,4,2.73333333333333,4.07692307692308,1.25
50,AHAB,51.9260273972603,1,30,13,1,3,3.46666666666667,4.28571428571429,1
51,AHAB,41.9479452054794,-1,26,19,1,1,2.53333333333333,3.26666666666667,1.14285714285714
52,AHAB,49.9123287671233,-1,25,17,1,1,1.93333333333333,4.42857142857143,1
53,AHAB,44.7479452054795,1,29,17,1,2,2.33333333333333,4.71428571428571,1.08333333333333
54,AHAB,38.9123287671233,-1,33,8,1,1,2.86666666666667,3.4,1.2
55,AHAB,42.5315068493151,-1,30,16,1,2,1.73333333333333,2.71428571428571,1.06666666666667
56,AHAB,32.9287671232877,-1,28,23,1,3,3,3.61538461538462,1
57,AHAB,45.3671232876712,-1,30,4,1,1,2.26666666666667,2.06666666666667,1
58,AHAB,31.7835616438356,1,29,10,1,1,2.4,2.46666666666667,1.06666666666667
59,AHAB,33.441095890411,-1,27,12,1,2,2.73333333333333,3,1
60,AHAB,33.9890410958904,1,39,17,1,3,3.21428571428571,4,1.07142857142857
61,AHAB,44.0602739726027,-1,28,15,1,3,2,2.73333333333333,1
62,AHAB,54,1,40,4,1,1,2.46153846153846,4.15384615384615,1
63,AHAB,52.6246575342466,-1,33,15,1,8,3.8,3.07142857142857,1
64,AHAB,37.1479452054795,-1,26,16,1,1,2.4,2.85714285714286,1.15384615384615
65,AHAB,40.4082191780822,-1,33,18,1,2,2.42857142857143,3.57142857142857,1.07142857142857
66,AHAB,31.2767123287671,1,31,9,1,3,2.8,4.42857142857143,1
67,AHAB,31.5315068493151,1,41,21,0,9,2.4,3.5,1
68,AHAB,44.3095890410959,1,42,11,1,3,1.26666666666667,2.26666666666667,1
69,AHAB,49.6082191780822,1,41,21,1,8,3.35714285714286,4.07692307692308,2.07142857142857
70,AHAB,45.9835616438356,-1,NaN,NaN,0,9,4.06666666666667,4,1.21428571428571
71,AHAB,43.1890410958904,1,31,9,1,1,2.46666666666667,1.85714285714286,1
72,AHAB,43.972602739726,-1,33,16,1,2,2.23076923076923,2.33333333333333,1
73,AHAB,32.9534246575342,-1,29,15,1,3,3.2,3.14285714285714,1.07142857142857
74,AHAB,43.2821917808219,-1,24,12,1,3,2,3.6,1
75,AHAB,52.1917808219178,1,26,11,1,4,2.53333333333333,2.92857142857143,1
76,AHAB,46.8356164383562,1,33,14,1,1,3,3.23076923076923,1.07692307692308
77,AHAB,31.2958904109589,-1,30,18,0,9,2.78571428571429,2.38461538461538,1.2
78,AHAB,45.4739726027397,1,27,12,1,4,3.26666666666667,3.33333333333333,1.35714285714286
