SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
61,PIP,43.9808219178082,-1,31,13,1,2,4.06666666666667,3.71428571428571,1.26666666666667
62,PIP,34.7095890410959,1,28,19,1,1,2.66666666666667,3.13333333333333,1
63,PIP,47.7506849315068,1,32,16,1,3,4,4.46153846153846,1.46666666666667
64,PIP,37.413698630137,-1,37,21,1,3,2.66666666666667,3.85714285714286,1.13333333333333
65,PIP,49.3424657534247,1,34,14,1,2,3.25,3.15384615384615,1.26666666666667
66,PIP,34.9972602739726,-1,26,22,1,7,2.8,2.14285714285714,2.2
67,PIP,35.7397260273973,1,27,15,1,2,2.28571428571429,2.64285714285714,1
68,PIP,38.2246575342466,-1,26,18,1,1,3.2,3.8,1.93333333333333
69,PIP,36.0931506849315,-1,30,20,1,1,2.4,3.53333333333333,1
70,PIP,45.5287671232877,1,14,4,1,0,3.13333333333333,3.13333333333333,1.2
71,PIP,33.0684931506849,1,31,16,1,3,2.26666666666667,2.64285714285714,1.06666666666667
72,PIP,30.9671232876712,1,32,20,1,2,3.6,4.42857142857143,1.53333333333333
73,PIP,37.6191780821918,1,31,7,1,2,3.4,4.5,1
74,PIP,33.5671232876712,1,31,11,1,3,4.2,4.53333333333333,1
75,PIP,42.9534246575342,1,38,15,1,3,2.33333333333333,4.13333333333333,1.4
76,PIP,33.9369863013699,-1,30,14,1,8,3.46666666666667,3.6,1.13333333333333
77,PIP,48.2328767123288,-1,21,18,0,9,3.4,3,1.30769230769231
78,PIP,45.213698630137,1,28,16,1,1,3.42857142857143,3.42857142857143,1.57142857142857
79,PIP,48.1232876712329,-1,36,12,1,3,1.2,1.53846153846154,1
80,PIP,37.2328767123288,-1,31,15,1,8,3.71428571428571,3.53333333333333,1.28571428571429
81,PIP,30.4602739726027,-1,24,12,1,1,3.2,3.8,1.33333333333333
82,PIP,36.7397260273973,-1,24,16,1,2,2.8,2.71428571428571,1.06666666666667
83,PIP,33.8,-1,29,10,1,8,3.57142857142857,3.53846153846154,1
84,PIP,43.227397260274,1,28,10,1,7,3.4,3.33333333333333,1.15384615384615
85,PIP,47.1452054794521,1,30,19,1,4,3.8,3.8,1.46666666666667
86,PIP,39.3150684931507,-1,33,15,1,0,3.33333333333333,3.64285714285714,1
87,PIP,32.4931506849315,-1,20,15,1,1,2.93333333333333,3.66666666666667,1
88,PIP,37.3095890410959,1,32,14,1,3,4.28571428571429,4,1
